SPECIES,STATION ID,Agricultural,ForestSource,Forested,Urbanized,PreBr1-1,PreBr1-2,PreBr1-3,Breed1-1,Breed1-2,Breed1-3,PostBr1-1,PostBr1-2,PostBr1-3,PreBr2-1,PreBr2-2,PreBr2-3,Breed2-1,Breed2-2,Breed2-3
BRMA,Edge (S) - 13,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
BRMA,Edge (S) - 14,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
BRMA,Edge (S) - 15,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
BRMA,Edge (S) - 16,0,1,0,0,0,0,0,0,0,0,NA,0,0,0,0,0,0,0,0
BRMA,Edge (S) - 18,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
BRMA,Edge (S) - 19,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
BRMA,Edge (S) - 2,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
BRMA,Edge (S) - 20,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
BRMA,Edge (S) - 21,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
BRMA,Edge (S) - 22,0,1,0,0,NA,NA,NA,0,0,0,0,0,NA,0,0,0,0,0,0
BRMA,Edge (S) - 24,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
BRMA,Edge (S) - 25,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
BRMA,Edge (S) - 3,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
BRMA,Edge (S) - 4,0,1,0,0,NA,NA,NA,0,0,0,0,0,0,0,0,0,0,0,0
BRMA,Edge (S) - 5,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
BRMA,Edge (S) - 6,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
BRMA,Edge (S) - 7,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
BRMA,For - 1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
BRMA,For - 10,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
BRMA,For - 11,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
BRMA,For - 12,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
BRMA,For - 13,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
BRMA,For - 14,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
BRMA,For - 15,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
BRMA,For - 16,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
BRMA,For - 17,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
BRMA,For - 18,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
BRMA,For - 19,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
BRMA,For - 2,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
BRMA,For - 20,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
BRMA,For - 21,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
BRMA,For - 22,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
BRMA,For - 23,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
BRMA,For - 24,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
BRMA,For - 25,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
BRMA,For - 26,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
BRMA,For - 27,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
BRMA,For - 28,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
BRMA,For - 29,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
BRMA,For - 3,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
BRMA,For - 30,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
BRMA,For - 4,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
BRMA,For - 5,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
BRMA,For - 6,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
BRMA,For - 7,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
BRMA,For - 8,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
BRMA,For - 9,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
BRMA,Urban - 1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
BRMA,Urban - 10,0,0,0,1,0,0,0,1,1,1,0,0,NA,0,1,0,0,0,1
BRMA,Urban - 11,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
BRMA,Urban - 12,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
BRMA,Urban - 13,0,0,0,1,0,0,0,0,0,0,0,0,NA,0,0,0,0,0,0
BRMA,Urban - 14,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
BRMA,Urban - 15,0,0,0,1,0,0,1,0,0,0,0,0,NA,0,0,0,1,0,0
BRMA,Urban - 16,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,NA
BRMA,Urban - 17,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
BRMA,Urban - 18,0,0,0,1,0,0,0,0,0,0,0,0,NA,1,1,0,0,0,0
BRMA,Urban - 19,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
BRMA,Urban - 2,0,0,0,1,0,0,0,0,0,0,0,0,NA,0,0,0,0,0,0
BRMA,Urban - 20,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
BRMA,Urban - 21,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
BRMA,Urban - 22,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
BRMA,Urban - 23,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
BRMA,Urban - 24,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
BRMA,Urban - 25,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
BRMA,Urban - 26,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,1,0,1
BRMA,Urban - 27,0,0,0,1,0,0,0,0,0,0,0,0,NA,0,0,0,0,0,0
BRMA,Urban - 28,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0
BRMA,Urban - 29,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
BRMA,Urban - 3,0,0,0,1,0,0,0,0,0,0,0,0,NA,0,0,0,0,0,0
BRMA,Urban - 30,0,0,0,1,0,0,0,0,0,0,0,0,NA,0,0,0,1,0,0
BRMA,Urban - 4,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
BRMA,Urban - 5,0,0,0,1,0,0,1,0,0,0,0,0,NA,0,0,0,0,0,0
BRMA,Urban - 6,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
BRMA,Urban - 7,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
BRMA,Urban - 8,0,0,0,1,0,0,0,0,0,0,0,0,NA,0,0,0,0,0,0
BRMA,Urban - 9,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
BWVI,Agri - 1,1,0,0,0,0,0,1,1,1,0,0,0,NA,0,0,0,1,0,1
BWVI,Agri - 10,1,0,0,0,0,0,0,0,0,0,0,0,NA,0,0,0,1,0,0
BWVI,Agri - 11,1,0,0,0,0,0,0,0,0,0,0,0,NA,0,0,0,0,0,0
BWVI,Agri - 12,1,0,0,0,0,0,0,1,0,0,0,0,NA,0,0,0,0,0,0
BWVI,Agri - 13,1,0,0,0,0,0,0,0,0,0,0,0,NA,0,0,0,0,0,0
BWVI,Agri - 14,1,0,0,0,0,0,0,0,0,0,NA,NA,NA,0,0,0,0,0,0
BWVI,Agri - 15,1,0,0,0,0,0,0,0,0,0,NA,NA,NA,0,0,0,0,0,NA
BWVI,Agri - 16,1,0,0,0,0,0,0,0,0,0,0,0,NA,0,0,0,0,0,0
BWVI,Agri - 17,1,0,0,0,0,0,0,0,0,1,0,0,NA,0,0,0,0,0,0
BWVI,Agri - 18,1,0,0,0,0,0,0,0,0,0,0,0,NA,0,0,0,0,0,0
BWVI,Agri - 19,1,0,0,0,0,0,0,0,0,0,0,0,NA,0,0,0,0,0,0
BWVI,Agri - 2,1,0,0,0,0,0,1,0,0,0,0,0,NA,0,0,0,1,0,0
BWVI,Agri - 20,1,0,0,0,0,0,0,0,0,0,0,0,NA,0,0,0,0,0,0
BWVI,Agri - 21,1,0,0,0,0,0,0,0,0,0,NA,NA,NA,0,0,0,0,0,0
BWVI,Agri - 22,1,0,0,0,0,0,0,0,0,0,0,0,NA,0,0,0,0,0,0
BWVI,Agri - 23,1,0,0,0,0,0,0,0,0,0,NA,NA,NA,0,0,0,0,0,0
BWVI,Agri - 24,1,0,0,0,0,0,0,0,0,0,0,0,NA,0,0,0,0,0,0
BWVI,Agri - 25,1,0,0,0,0,0,0,0,0,0,0,0,NA,0,0,0,0,0,0
BWVI,Agri - 26,1,0,0,0,0,0,0,0,0,0,0,0,NA,0,0,0,0,0,1
BWVI,Agri - 27,1,0,0,0,0,0,0,0,0,0,0,0,NA,0,0,0,0,0,0
BWVI,Agri - 28,1,0,0,0,0,0,0,0,0,0,0,0,NA,0,0,0,0,0,0
BWVI,Agri - 29,1,0,0,0,0,0,0,0,0,0,0,0,NA,0,0,0,0,0,0
BWVI,Agri - 3,1,0,0,0,0,0,0,0,0,0,0,0,NA,0,0,0,0,0,0
BWVI,Agri - 30,1,0,0,0,0,0,0,0,0,0,NA,NA,NA,0,0,0,0,0,NA
BWVI,Agri - 4,1,0,0,0,0,0,0,0,0,0,0,0,NA,0,0,0,0,0,0
BWVI,Agri - 5,1,0,0,0,0,0,1,0,1,0,0,0,NA,0,0,0,0,0,0
BWVI,Agri - 6,1,0,0,0,0,0,0,0,0,0,0,0,NA,0,0,0,0,0,0
BWVI,Agri - 7,1,0,0,0,0,0,0,0,0,0,0,0,NA,0,0,0,0,0,0
BWVI,Agri - 8,1,0,0,0,0,0,1,NA,NA,NA,0,0,NA,0,0,0,0,0,1
BWVI,Agri - 9,1,0,0,0,0,0,0,0,0,0,0,0,NA,0,0,0,0,0,0
BWVI,Edge (G) - 26,0,1,0,0,NA,NA,NA,0,0,0,0,0,0,0,0,0,0,0,0
BWVI,Edge (G) - 28,0,1,0,0,0,1,1,0,0,0,0,0,NA,0,0,0,0,0,0
BWVI,Edge (G) - 29,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
BWVI,Edge (G) - 30,0,1,0,0,NA,NA,NA,0,0,1,0,0,0,0,0,0,0,1,0
BWVI,Edge (G) - 31,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
BWVI,Edge (G) - 32,0,1,0,0,0,0,0,1,1,0,1,0,0,0,0,1,1,1,0
BWVI,Edge (G) - 33,0,1,0,0,NA,NA,NA,0,1,1,0,0,0,0,0,0,0,1,1
BWVI,Edge (G) - 34,0,1,0,0,NA,NA,NA,0,0,0,0,0,0,0,0,0,1,0,1
BWVI,Edge (G) - 35,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
BWVI,Edge (G) - 36,0,1,0,0,NA,NA,NA,0,1,0,0,0,0,0,0,1,1,0,0
BWVI,Edge (G) - 37,0,1,0,0,0,0,0,0,0,0,0,0,NA,0,0,0,0,0,0
BWVI,Edge (G) - 38,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
BWVI,Edge (G) - 39,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
BWVI,Edge (G) - 40,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
BWVI,Edge (G) - 41,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
BWVI,Edge (G) - 42,0,1,0,0,NA,NA,NA,0,0,0,0,0,0,0,0,0,1,0,0
BWVI,Edge (G) - 43,0,1,0,0,NA,NA,NA,0,0,0,0,0,0,0,0,0,0,0,0
BWVI,Edge (G) - 44,0,1,0,0,NA,NA,NA,1,0,0,0,0,0,0,0,0,0,0,0
BWVI,Edge (S) - 1,0,1,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,1
BWVI,Edge (S) - 11,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
BWVI,Edge (S) - 12,0,1,0,0,0,0,1,1,1,1,1,0,0,0,0,0,1,1,0
BWVI,Edge (S) - 13,0,1,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,1,1
BWVI,Edge (S) - 14,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0
BWVI,Edge (S) - 15,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
BWVI,Edge (S) - 16,0,1,0,0,0,0,0,0,0,0,NA,0,0,0,0,0,0,0,0
BWVI,Edge (S) - 18,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
BWVI,Edge (S) - 19,0,1,0,0,0,0,1,1,1,1,1,0,0,0,0,0,0,0,0
BWVI,Edge (S) - 2,0,1,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0,1,0
BWVI,Edge (S) - 20,0,1,0,0,0,0,0,0,1,1,0,0,0,0,0,0,1,1,0
BWVI,Edge (S) - 21,0,1,0,0,0,0,0,1,0,1,1,0,0,0,0,0,1,1,0
BWVI,Edge (S) - 22,0,1,0,0,NA,NA,NA,1,1,1,0,0,NA,0,0,0,1,0,0
BWVI,Edge (S) - 24,0,1,0,0,0,0,0,1,1,1,1,0,0,0,0,0,1,1,0
BWVI,Edge (S) - 25,0,1,0,0,0,0,0,0,1,1,0,0,0,0,0,0,1,0,0
BWVI,Edge (S) - 3,0,1,0,0,0,0,0,1,1,1,1,0,0,0,0,0,1,0,0
BWVI,Edge (S) - 4,0,1,0,0,NA,NA,NA,0,0,1,1,0,0,0,0,0,1,1,1
BWVI,Edge (S) - 5,0,1,0,0,0,0,1,0,0,1,1,0,0,0,0,0,0,0,0
BWVI,Edge (S) - 6,0,1,0,0,0,0,1,1,0,1,0,0,0,0,0,1,1,1,1
BWVI,Edge (S) - 7,0,1,0,0,0,0,0,1,1,1,0,0,0,0,0,0,1,1,0
BWVI,For - 1,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0
BWVI,For - 10,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1
BWVI,For - 11,0,0,1,0,0,0,1,1,1,1,1,0,0,0,0,1,1,1,1
BWVI,For - 12,0,0,1,0,0,0,1,1,1,1,1,0,0,0,1,1,1,1,1
BWVI,For - 13,0,0,1,0,0,0,1,1,1,1,0,1,0,0,0,1,1,1,1
BWVI,For - 14,0,0,1,0,0,0,1,0,1,1,0,0,0,0,0,0,1,0,1
BWVI,For - 15,0,0,1,0,0,0,0,1,1,1,0,1,0,0,0,1,1,1,1
BWVI,For - 16,0,0,1,0,0,0,0,1,1,0,0,0,0,0,0,0,1,1,1
BWVI,For - 17,0,0,1,0,0,0,1,0,1,1,1,1,0,0,1,0,0,0,0
BWVI,For - 18,0,0,1,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0
BWVI,For - 19,0,0,1,0,0,0,1,1,1,0,0,0,0,0,0,1,1,1,0
BWVI,For - 2,0,0,1,0,0,0,0,1,1,1,0,0,0,0,0,0,1,0,0
BWVI,For - 20,0,0,1,0,0,0,1,1,1,0,0,1,0,0,0,0,1,1,0
BWVI,For - 21,0,0,1,0,0,0,1,0,1,1,1,1,0,0,0,0,1,1,1
BWVI,For - 22,0,0,1,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0
BWVI,For - 23,0,0,1,0,0,0,1,1,1,0,1,0,0,0,0,1,1,1,1
BWVI,For - 24,0,0,1,0,0,0,1,1,1,1,0,1,0,0,1,1,1,1,1
BWVI,For - 25,0,0,1,0,0,0,1,1,1,1,0,0,0,0,0,0,1,1,1
BWVI,For - 26,0,0,1,0,0,0,1,0,1,1,1,1,0,0,1,1,1,1,0
BWVI,For - 27,0,0,1,0,0,0,1,1,0,0,1,0,0,0,0,1,1,1,1
BWVI,For - 28,0,0,1,0,0,0,1,1,1,1,0,1,0,0,1,1,1,1,1
BWVI,For - 29,0,0,1,0,0,0,1,1,1,1,0,0,0,0,0,0,0,1,1
BWVI,For - 3,0,0,1,0,0,0,0,1,1,1,1,0,0,0,0,0,1,1,1
BWVI,For - 30,0,0,1,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0
BWVI,For - 4,0,0,1,0,0,0,1,1,1,1,1,1,0,0,1,1,1,0,0
BWVI,For - 5,0,0,1,0,0,0,1,1,1,1,0,0,0,0,0,1,1,1,1
BWVI,For - 6,0,0,1,0,0,1,1,1,1,1,0,0,0,0,0,1,1,1,1
BWVI,For - 7,0,0,1,0,0,0,1,1,1,0,0,0,0,0,0,0,1,1,0
BWVI,For - 8,0,0,1,0,0,1,1,0,1,1,0,1,0,0,1,1,1,1,1
BWVI,For - 9,0,0,1,0,0,0,1,0,1,1,1,0,0,0,0,1,1,1,1
BWVI,Urban - 1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
BWVI,Urban - 10,0,0,0,1,0,0,0,1,0,0,0,0,NA,0,0,0,0,0,0
BWVI,Urban - 11,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
BWVI,Urban - 12,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
BWVI,Urban - 13,0,0,0,1,0,0,0,0,0,0,0,0,NA,0,0,0,0,0,0
BWVI,Urban - 14,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
BWVI,Urban - 15,0,0,0,1,0,0,0,0,0,0,0,0,NA,0,0,0,0,0,0
BWVI,Urban - 16,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA
BWVI,Urban - 17,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
BWVI,Urban - 18,0,0,0,1,0,0,0,0,0,0,0,0,NA,0,0,0,0,0,0
BWVI,Urban - 19,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
BWVI,Urban - 2,0,0,0,1,0,0,0,0,0,0,0,0,NA,0,0,0,0,0,0
BWVI,Urban - 20,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
BWVI,Urban - 21,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
BWVI,Urban - 22,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
BWVI,Urban - 23,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
BWVI,Urban - 24,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
BWVI,Urban - 25,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
BWVI,Urban - 26,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
BWVI,Urban - 27,0,0,0,1,0,0,0,0,0,0,0,0,NA,0,0,0,0,0,0
BWVI,Urban - 28,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
BWVI,Urban - 29,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
BWVI,Urban - 3,0,0,0,1,0,0,0,0,1,1,0,0,NA,0,0,0,0,0,0
BWVI,Urban - 30,0,0,0,1,0,0,0,0,0,0,0,0,NA,0,0,0,0,0,0
BWVI,Urban - 4,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
BWVI,Urban - 5,0,0,0,1,0,0,0,0,0,0,0,0,NA,0,0,0,0,0,0
BWVI,Urban - 6,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
BWVI,Urban - 7,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
BWVI,Urban - 8,0,0,0,1,0,0,0,0,0,0,0,0,NA,0,0,0,0,0,0
BWVI,Urban - 9,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
CAEG,Agri - 1,1,0,0,0,1,1,0,0,1,0,1,0,NA,0,0,0,0,0,0
CAEG,Agri - 10,1,0,0,0,0,0,0,0,0,0,0,0,NA,0,0,0,0,0,0
CAEG,Agri - 11,1,0,0,0,0,0,0,1,0,0,0,0,NA,0,0,0,0,0,0
CAEG,Agri - 12,1,0,0,0,0,0,0,0,0,1,1,1,NA,0,0,0,0,0,1
CAEG,Agri - 13,1,0,0,0,1,0,1,0,0,0,0,0,NA,0,0,0,1,1,1
CAEG,Agri - 14,1,0,0,0,0,0,0,1,0,1,NA,NA,NA,0,0,0,0,0,0
CAEG,Agri - 15,1,0,0,0,0,0,0,1,0,0,NA,NA,NA,0,0,0,0,1,NA
CAEG,Agri - 16,1,0,0,0,0,0,0,0,0,0,0,0,NA,0,0,0,0,1,0
CAEG,Agri - 17,1,0,0,0,1,1,0,0,0,1,0,0,NA,0,1,0,1,0,0
CAEG,Agri - 18,1,0,0,0,0,0,0,0,0,0,0,0,NA,0,0,0,1,1,1
CAEG,Agri - 19,1,0,0,0,0,0,0,0,0,0,0,0,NA,0,0,0,0,0,0
CAEG,Agri - 2,1,0,0,0,1,0,1,0,0,0,0,0,NA,0,0,0,0,0,0
CAEG,Agri - 20,1,0,0,0,0,0,1,1,0,0,1,0,NA,0,0,0,1,0,0
CAEG,Agri - 21,1,0,0,0,0,0,0,0,0,1,NA,NA,NA,0,0,0,0,1,0
CAEG,Agri - 22,1,0,0,0,0,0,0,0,0,1,0,0,NA,0,0,0,0,0,0
CAEG,Agri - 23,1,0,0,0,0,0,0,0,0,0,NA,NA,NA,0,0,0,1,0,0
CAEG,Agri - 24,1,0,0,0,0,0,0,0,0,1,0,0,NA,0,0,0,0,0,0
CAEG,Agri - 25,1,0,0,0,0,0,0,1,0,1,0,0,NA,0,0,0,1,1,1
CAEG,Agri - 26,1,0,0,0,0,0,0,0,0,1,0,0,NA,0,0,0,0,0,0
CAEG,Agri - 27,1,0,0,0,0,0,0,0,0,0,1,0,NA,0,0,0,1,0,0
CAEG,Agri - 28,1,0,0,0,0,0,0,0,1,1,0,0,NA,0,0,0,0,1,0
CAEG,Agri - 29,1,0,0,0,0,0,0,1,0,1,0,0,NA,0,0,0,0,0,0
CAEG,Agri - 3,1,0,0,0,0,0,0,0,0,0,0,0,NA,0,0,0,0,0,0
CAEG,Agri - 30,1,0,0,0,0,0,0,1,0,0,NA,NA,NA,0,0,0,0,1,NA
CAEG,Agri - 4,1,0,0,0,0,0,0,0,0,0,1,0,NA,0,0,0,1,0,0
CAEG,Agri - 5,1,0,0,0,1,0,1,1,0,0,0,0,NA,0,1,1,0,0,0
CAEG,Agri - 6,1,0,0,0,0,0,0,0,0,0,0,0,NA,1,0,0,1,0,0
CAEG,Agri - 7,1,0,0,0,0,1,0,1,0,0,0,0,NA,0,0,0,1,0,0
CAEG,Agri - 8,1,0,0,0,1,0,0,NA,NA,NA,0,1,NA,0,0,0,0,0,0
CAEG,Agri - 9,1,0,0,0,0,0,0,0,0,1,1,0,NA,0,0,0,0,0,0
CAEG,Edge (G) - 26,0,1,0,0,NA,NA,NA,0,0,1,0,0,0,0,0,0,0,0,0
CAEG,Edge (G) - 28,0,1,0,0,0,0,0,0,0,0,0,0,NA,0,0,0,0,0,0
CAEG,Edge (G) - 29,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
CAEG,Edge (G) - 30,0,1,0,0,NA,NA,NA,0,0,0,0,0,0,0,0,0,0,0,0
CAEG,Edge (G) - 31,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
CAEG,Edge (G) - 32,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
CAEG,Edge (G) - 33,0,1,0,0,NA,NA,NA,0,0,0,0,1,0,0,0,0,0,0,0
CAEG,Edge (G) - 34,0,1,0,0,NA,NA,NA,0,0,0,0,0,0,0,0,0,0,0,0
CAEG,Edge (G) - 35,0,1,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,1,0
CAEG,Edge (G) - 36,0,1,0,0,NA,NA,NA,0,0,0,0,0,0,0,0,0,0,0,0
CAEG,Edge (G) - 37,0,1,0,0,0,0,0,0,1,0,0,0,NA,0,0,0,0,0,0
CAEG,Edge (G) - 38,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
CAEG,Edge (G) - 39,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
CAEG,Edge (G) - 40,0,1,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0
CAEG,Edge (G) - 41,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
CAEG,Edge (G) - 42,0,1,0,0,NA,NA,NA,0,0,0,0,0,0,0,0,0,0,0,0
CAEG,Edge (G) - 43,0,1,0,0,NA,NA,NA,0,0,0,0,0,0,0,0,0,0,0,0
CAEG,Edge (G) - 44,0,1,0,0,NA,NA,NA,0,0,0,0,0,0,0,0,0,0,0,0
CAEG,Edge (S) - 1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
CAEG,Edge (S) - 11,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
CAEG,Edge (S) - 12,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
CAEG,Edge (S) - 13,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
CAEG,Edge (S) - 14,0,1,0,0,0,1,0,0,0,0,0,1,0,1,0,0,1,0,0
CAEG,Edge (S) - 15,0,1,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0
CAEG,Edge (S) - 16,0,1,0,0,0,0,1,0,0,0,NA,0,0,0,0,0,0,0,0
CAEG,Edge (S) - 18,0,1,0,0,1,0,1,1,1,1,1,0,0,0,0,0,0,0,0
CAEG,Edge (S) - 19,0,1,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0
CAEG,Edge (S) - 2,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
CAEG,Edge (S) - 20,0,1,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0
CAEG,Edge (S) - 21,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
CAEG,Edge (S) - 22,0,1,0,0,NA,NA,NA,0,0,0,0,0,NA,0,0,0,0,0,0
CAEG,Edge (S) - 24,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
CAEG,Edge (S) - 25,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
CAEG,Edge (S) - 3,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
CAEG,Edge (S) - 4,0,1,0,0,NA,NA,NA,0,0,0,0,0,0,0,0,0,0,0,0
